ID,treatment,NED,regime,Temp,Co2,Herb,uv,Li,pH,ND,P,overlap,replicate,count.ml.Nt,logcount.Nt,count.ml.No,logcount.No,Rate of Division,risk.Extinction,no.divisions,perDay,relative.fit,change.no.cells
3_E10,Co2/Ph,2,17,no,yes,no,no,no,yes,no,no,0.214285714,40,1227833.333,14.02076166,336866.6667,12.72744248,0.373173031,1.34534592,1.865865167,0.373173033,0.557120857,178193.3333
3_E10,Co2/Ph,2,17,no,yes,no,no,no,yes,no,no,0.214285714,40,1435700,14.17716309,744800,13.520871,0.189365868,1.505903255,0.946829344,0.189365869,0.31626405,138180
3_E11,Co2/Ph,2,17,no,yes,no,no,no,yes,no,no,0.214285714,41,1766800,14.38468056,189233.3333,12.1507361,0.644580118,1.025565413,3.222900594,0.644580119,0.962312376,315513.3333
3_E11,Co2/Ph,2,17,no,yes,no,no,no,yes,no,no,0.214285714,41,1789266.667,14.39731641,364000,12.80490915,0.459471613,1.14945411,2.297358057,0.459471611,0.767373517,285053.3334
3_E12,Co2/Ph,2,17,no,yes,no,no,no,yes,no,no,0.214285714,42,1503233.333,14.2231289,219833.3333,12.30062496,0.55471738,1.121993284,2.7735869,0.55471738,0.828153684,256679.9999
3_E12,Co2/Ph,2,17,no,yes,no,no,no,yes,no,no,0.214285714,42,1438566.667,14.17915781,345900,12.75390499,0.411241032,1.206251628,2.056205175,0.411241035,0.686822584,218533.3334
3_A4,Co2/Temp,2,27,yes,yes,no,no,no,no,no,no,0.19047619,43,1704133.333,14.34856723,146366.6667,11.89387017,0.708275856,0.962278225,3.541379275,0.708275855,1.05740559,311553.3333
3_A4,Co2/Temp,2,27,yes,yes,no,no,no,no,no,no,0.19047619,43,2578600,14.76275717,249300,12.42641227,0.674126641,0.927402245,3.370633201,0.67412664,1.125873542,465860
3_A5,Co2/Temp,2,27,yes,yes,no,no,no,no,no,no,0.19047619,44,2041666.667,14.52927703,148300,11.90699253,0.756631368,0.916853878,3.783156844,0.756631369,1.129596941,378673.3334
3_A5,Co2/Temp,2,27,yes,yes,no,no,no,no,no,no,0.19047619,44,2252833.333,14.62769924,727400,13.49723181,0.326183951,1.3133417,1.630919755,0.326183951,0.544766901,305086.6666
3_A6,Co2/Temp,2,27,yes,yes,no,no,no,no,no,no,0.19047619,45,1961833.333,14.48938997,180700,12.10459348,0.688106814,0.9818835,3.44053407,0.688106814,1.027294643,356226.6666
3_A6,Co2/Temp,2,27,yes,yes,no,no,no,no,no,no,0.19047619,45,1748133.333,14.37405911,495100,13.11251504,0.364004674,1.264597742,1.820023374,0.364004675,0.607932113,250606.6666
4_H1,Co2/Uv,2,40,no,yes,no,yes,no,no,no,no,0.238095238,46,3178866.667,14.9720353,682466.6667,13.43346896,0.443936404,1.253435019,2.219682029,0.443936406,0.662765551,499280.0001
4_H1,Co2/Uv,2,40,no,yes,no,yes,no,no,no,no,0.238095238,46,3492033.333,15.06599474,244200,12.40574284,0.767586445,0.844654434,3.837932224,0.767586445,1.281962792,649566.6666
4_H2,Co2/Uv,2,40,no,yes,no,yes,no,no,no,no,0.238095238,47,3023033.333,14.9217713,227466.6667,12.33475899,0.746453967,0.926232713,3.73226983,0.746453966,1.114402801,559113.3333
4_H2,Co2/Uv,2,40,no,yes,no,yes,no,no,no,no,0.238095238,47,3392100,15.03695976,270511.1111,12.50806845,0.729683789,0.877283539,3.648418952,0.72968379,1.218660745,624317.7778
4_H3,Co2/Uv,2,40,no,yes,no,yes,no,no,no,no,0.238095238,48,2871766.667,14.87043796,217200,12.28857387,0.744968505,0.927609619,3.724842519,0.744968504,1.112185111,530913.3334
4_H3,Co2/Uv,2,40,no,yes,no,yes,no,no,no,no,0.238095238,48,2882233.333,14.87407601,261888.8889,12.4756756,0.692032075,0.910944487,3.460160378,0.692032076,1.155777799,524068.8888
2_F7,Herb/Uv,2,51,no,no,yes,yes,no,no,no,no,0.119047619,49,724400,13.493099,272500,12.51539389,0.282106063,1.47361437,1.410530314,0.282106063,0.421164333,90380
2_F7,Herb/Uv,2,51,no,no,yes,yes,no,no,no,no,0.119047619,49,842733.3333,13.64440586,315800,12.66286438,0.283213004,1.371007337,1.416065026,0.283213005,0.473000191,105386.6667
2_F8,Herb/Uv,2,51,no,no,yes,yes,no,no,no,no,0.119047619,50,805633.3333,13.599384,193100,12.17096347,0.412155042,1.293910669,2.060775215,0.412155043,0.615318231,122506.6667
2_F8,Herb/Uv,2,51,no,no,yes,yes,no,no,no,no,0.119047619,50,823633.3333,13.62148073,284400,12.55813698,0.306816151,1.339026162,1.534080755,0.306816151,0.512420317,107846.6667
2_F9,Herb/Uv,2,51,no,no,yes,yes,no,no,no,no,0.119047619,51,626266.6667,13.34753154,564266.6667,13.24328223,0.030079993,1.895995837,0.150399963,0.030079993,0.044907294,12400
2_F9,Herb/Uv,2,51,no,no,yes,yes,no,no,no,no,0.119047619,51,605200,13.31331426,117200,11.67163716,0.473687884,1.133228765,2.368439411,0.473687882,0.79111642,97600
2_H7,P/Li,2,60,no,no,no,no,yes,no,no,yes,0.119047619,52,736733.3333,13.50998128,715000,13.48003782,0.008639855,1.937085155,0.043199281,0.008639856,0.012898692,4346.66666
2_H7,P/Li,2,60,no,no,no,no,yes,no,no,yes,0.119047619,52,950766.6667,13.76502396,619300,13.33634509,0.123690576,1.608123836,0.61845288,0.123690576,0.206578317,66293.33334
2_H8,P/Li,2,60,no,no,no,no,yes,no,no,yes,0.119047619,53,628200,13.35061387,425300,12.96055008,0.112548618,1.745909431,0.562743095,0.112548619,0.168027102,40580
2_H8,P/Li,2,60,no,no,no,no,yes,no,no,yes,0.119047619,53,953533.3333,13.76792966,419800,12.94753369,0.236716241,1.436260003,1.183581197,0.236716239,0.395344933,106746.6667
2_H9,P/Li,2,60,no,no,no,no,yes,no,no,yes,0.119047619,54,893133.3333,13.70249116,384366.6667,12.85935224,0.243278468,1.531956587,1.216392339,0.243278468,0.363197489,101753.3333
2_H9,P/Li,2,60,no,no,no,no,yes,no,no,yes,0.119047619,54,1058866.667,13.87270971,469100,13.05857124,0.234910706,1.438855563,1.174553533,0.234910707,0.392329473,117953.3334
2_E10,Ph/P,2,66,no,no,no,no,no,yes,no,yes,0.119047619,55,783533.3333,13.57156888,401700,12.90346082,0.192775238,1.611312337,0.963876185,0.192775237,0.287799749,76366.66666
2_E10,Ph/P,2,66,no,no,no,no,no,yes,no,yes,0.119047619,55,1064400,13.87792182,466300,13.05258448,0.238142016,1.434213678,1.190710087,0.238142017,0.397726155,119620
2_E11,Ph/P,2,66,no,no,no,no,no,yes,no,yes,0.119047619,56,1035900,13.85078117,427966.6667,12.96680059,0.25506288,1.514009335,1.275314399,0.25506288,0.38079078,121586.6667
2_E11,Ph/P,2,66,no,no,no,no,no,yes,no,yes,0.119047619,56,1422500,14.16792644,536900,13.19356714,0.281140669,1.37385147,1.40570333,0.281140666,0.469539132,177120
2_E12,Ph/P,2,66,no,no,no,no,no,yes,no,yes,0.119047619,57,375166.6667,12.83512565,379733.3333,12.84722453,0,1.953893798,0,0,0,-913.33332
2_E12,Ph/P,2,66,no,no,no,no,no,yes,no,yes,0.119047619,57,494666.6667,13.11163941,505200,13.13270967,0,1.819858509,0,0,0,-2106.66666
2_F1,Ph/Uv,2,70,no,no,no,yes,no,yes,no,no,0.166666667,58,3450566.667,15.05404903,308833.3333,12.64055704,0.696386585,0.973787293,3.481932925,0.696386585,1.039655754,628346.6667
2_F1,Ph/Uv,2,70,no,no,no,yes,no,yes,no,no,0.166666667,58,3801200,15.15082736,364500,12.80628183,0.676492843,0.925210419,3.382464209,0.676492842,1.129825387,687340
2_F3,Ph/Uv,2,70,no,no,no,yes,no,yes,no,no,0.166666667,59,3136500,14.95861809,261366.6667,12.47367955,0.7170017,0.953918064,3.585008509,0.717001702,1.07043266,575026.6667
2_F3,Ph/Uv,2,70,no,no,no,yes,no,yes,no,no,0.166666667,59,3552566.667,15.0831809,408000,12.91902245,0.624444133,0.974641686,3.122220664,0.624444133,1.042897708,628913.3334
2_F5,Ph/Uv,2,70,no,no,no,yes,no,yes,no,no,0.166666667,60,3039200,14.92710488,230633.3333,12.34858443,0.744003734,0.928504981,3.720018666,0.744003733,1.110744777,561713.3333
2_F5,Ph/Uv,2,70,no,no,no,yes,no,yes,no,no,0.166666667,60,3407300,15.04143075,298700,12.607195,0.702371967,0.901573949,3.511859845,0.702371969,1.173046679,621720
1_B1,Temp/Ph,2,81,yes,no,no,no,no,yes,no,no,0.119047619,61,3709900,15.12651548,505266.6667,13.13284162,0.575252678,1.099187778,2.876263391,0.575252678,0.858811427,640926.6667
1_B1,Temp/Ph,2,81,yes,no,no,no,no,yes,no,no,0.119047619,61,3131266.667,14.95694817,444777.7778,13.00533006,0.563117953,1.03628355,2.815589769,0.563117954,0.940475524,537297.7778
1_B2,Temp/Ph,2,81,yes,no,no,no,no,yes,no,no,0.119047619,62,3192100,14.97618957,395100,12.88689418,0.602843219,1.069275142,3.014216098,0.60284322,0.900002147,559400
